count,velocity,videoUrl,permalinkUrl,description,id
40715.0,10.8966666667,http://mtc.cdn.vine.co/r/videos/F90964C03E1154883304621793280_3db0f69c02f.1.1.14985555510826675219.mp4?versionId=.l31eDTAHoj_yNIwGn_bV77O2lGfAj1w,https://vine.co/v/O6qK65LQJXI,Pot kırmak w / Cihan Akıncı,O6qK65LQJXI
40686.0,6.96666666667,http://mtc.cdn.vine.co/r/videos/844472B8831154860131964821504_3b0bebb3b4d.1.3.8124105063704857490.mp4?versionId=CvL_6Qc.H4rJFH13SgP3.5fs4Sm7G3VK,https://vine.co/v/O6A6OJtABdU,#wtf,O6A6OJtABdU
35873.0,4.23666666667,http://v.cdn.vine.co/r/videos/94F0D15D981154873907359174656_32e49ff1e7e.1.3.3129519546585852292.mp4?versionId=J4tiZt0WqoQZjLBOezdpDVdprTNYf9qQ,https://vine.co/v/O6A9xZiuamB,"Lil Wayne raps like... ""I slept like a baby call that kidnapping"" Jerry Purpdrank #remake #taghim",O6A9xZiuamB
33991.0,7.7,http://mtc.cdn.vine.co/r/videos/E7DDE1EC421154880439601811456_12ab2e6041b.3.2.mp4?versionId=byOzEzSx.8jLOFI7IXTwZ8DfprePH4oB,https://vine.co/v/O6qWb6w691w,,O6qWb6w691w
31525.0,4.84333333333,http://mtc.cdn.vine.co/r/videos/BB815343541154871360548392960_301ecc802e8.1.3.6223438197697337076.mp4?versionId=rXOEtTzGdocJtsX1jRHFKblJvjl9SO8t,https://vine.co/v/O6A9ATXdD5X,Yüzyılın buluşu,O6A9ATXdD5X
25201.0,7.49333333333,http://mtc.cdn.vine.co/r/videos/F377F849EA1154885313039372288_3855c9848af.1.3.7728971620427876367.mp4?versionId=DsWDc0xauTJSi1K39NTiUxtFy.NiefsZ,https://vine.co/v/O6qhrWiOW0B,To all the non believers!!! its a Christmas miracle!!! (Pure evidence) 🎅🎁🎄,O6qhrWiOW0B
23639.0,5.56,http://mtc.cdn.vine.co/r/videos/364401D1DB1154880852858445824_3052134d020.1.3.161848402173858041.mp4?versionId=6rEc.PmPUUP7gjNVKiDdeXXF4FVxO21x,https://vine.co/v/O6qW0emh0z6,É melhor mentir do que passar vergonha falando a verdade 🐄👀✋,O6qW0emh0z6
19974.0,3.75,http://v.cdn.vine.co/r/videos_h264high/F8A521A69A1154875812722651136_SW_WEBM_14183179736336739dde577.mp4?versionId=kXe1yefE_EuTAb08xDg_5gqa6MzCX19p,https://vine.co/v/O6ALXTM2bz6,TheFatRat - XenoGenesis,O6ALXTM2bz6
19843.0,4.77,http://v.cdn.vine.co/r/videos/7C0254F4FC1154875433872191488_34a8e7008ca.1.3.17923104739004420035.mp4?versionId=oXZxb4AYcFJUbvD8j_f28WMyLyFisHNX,https://vine.co/v/O6AYlJ7wmEt,"Dead 😂 Jennifer Lawrence, Jennifer Lawrence, Jennifer Lawrence",O6AYlJ7wmEt
18322.0,6.34666666667,http://v.cdn.vine.co/r/videos/14F7EDAE961154887259259031552_19601bcad02.3.2.mp4?versionId=iRB_em5kkbMmHXZ1JzIjM629OgA7XHb5,https://vine.co/v/O6qOe51DTVP,Ariana Grande,O6qOe51DTVP
16447.0,8.26333333333,http://mtc.cdn.vine.co/r/videos/91102864CC1154889768111321088_39426eeac63.1.2.6050135833453852560.mp4?versionId=YUGnxdlE7AtAQQRzys7qpQPAtLp9Vfe7,https://vine.co/v/O6qJuE5qd5h,Dylan O'Brien I Mean You're My Best Friend..,O6qJuE5qd5h
14250.0,6.57,http://v.cdn.vine.co/r/videos/576E0A0C5D1154889109400444928_3069c8de654.1.1.11034273980073442095.mp4?versionId=viIV9SrbWpiZZSOeCqfSYvYojp6vVHbr,https://vine.co/v/O6q5Kh1DQX9,She tried to escape,O6q5Kh1DQX9
11736.0,7.11666666667,http://mtc.cdn.vine.co/r/videos/71C31B6B291154888914738585600_3fd40ff4bbd.1.3.2023766599705333225.mp4?versionId=C2qkiXaRdneM1ocjqGC_aKKwsDI5nXWe,https://vine.co/v/O6qiF90bWvZ,Stay unique 💯,O6qiF90bWvZ
7878.0,9.88666666667,http://v.cdn.vine.co/r/videos/510C3F696D1154894572237762560_36918a0563d.0.1.6528794100240272312.mp4?versionId=REqVSmxpbNHrqRiblgp5Tka4vfuOBwiG,https://vine.co/v/O6qXaIjgnF6,,O6qXaIjgnF6
